,domain,IP
0,k.gjacky.com,10.202.7.212
1,lobby.igamecj.com,162.62.115.144
2,public.igamecj.com,162.62.116.251
3,mi5.gov.uk,185.130.45.94
4,sis.gov.uk,185.130.45.94
5,www.mi5.gov.uk,185.130.45.94
6,bing.com,204.79.197.220
7,www.bing.com,204.79.197.220
8,yandex.com,213.180.193.56
9,duckduckgo.com,52.250.41.2
10,www.duckduckgo.com,52.250.41.2
11,mossad.gov.il,87.107.132.83
12,cia.gov,93.115.151.123
13,www.cia.gov,93.115.151.123
14,google.ad,216.239.38.120
15,google.ae,216.239.38.120
16,google.al,216.239.38.120
17,google.am,216.239.38.120
18,google.as,216.239.38.120
19,google.at,216.239.38.120
20,google.ba,216.239.38.120
21,google.be,216.239.38.120
22,google.bf,216.239.38.120
23,google.bg,216.239.38.120
24,google.bi,216.239.38.120
25,google.bj,216.239.38.120
26,google.bs,216.239.38.120
27,google.bt,216.239.38.120
28,google.by,216.239.38.120
29,google.ca,216.239.38.120
30,google.cat,216.239.38.120
31,google.cd,216.239.38.120
32,google.cf,216.239.38.120
33,google.cg,216.239.38.120
34,google.ch,216.239.38.120
35,google.ci,216.239.38.120
36,google.cl,216.239.38.120
37,google.cm,216.239.38.120
38,google.cn,216.239.38.120
39,google.co.ao,216.239.38.120
40,google.co.bw,216.239.38.120
41,google.co.ck,216.239.38.120
42,google.co.cr,216.239.38.120
43,google.co.id,216.239.38.120
44,google.co.il,216.239.38.120
45,google.co.in,216.239.38.120
46,google.co.jp,216.239.38.120
47,google.co.ke,216.239.38.120
48,google.co.kr,216.239.38.120
49,google.co.ls,216.239.38.120
50,google.co.ma,216.239.38.120
51,google.co.mz,216.239.38.120
52,google.co.nz,216.239.38.120
53,google.co.th,216.239.38.120
54,google.co.tz,216.239.38.120
55,google.co.ug,216.239.38.120
56,google.co.uk,216.239.38.120
57,google.co.uz,216.239.38.120
58,google.co.ve,216.239.38.120
59,google.co.vi,216.239.38.120
60,google.co.za,216.239.38.120
61,google.co.zm,216.239.38.120
62,google.co.zw,216.239.38.120
63,google.com,216.239.38.120
64,google.com.af,216.239.38.120
65,google.com.ag,216.239.38.120
66,google.com.ar,216.239.38.120
67,google.com.au,216.239.38.120
68,google.com.bd,216.239.38.120
69,google.com.bh,216.239.38.120
70,google.com.bn,216.239.38.120
71,google.com.bo,216.239.38.120
72,google.com.br,216.239.38.120
73,google.com.bz,216.239.38.120
74,google.com.co,216.239.38.120
75,google.com.cu,216.239.38.120
76,google.com.cy,216.239.38.120
77,google.com.do,216.239.38.120
78,google.com.ec,216.239.38.120
79,google.com.eg,216.239.38.120
80,google.com.et,216.239.38.120
81,google.com.fj,216.239.38.120
82,google.com.gh,216.239.38.120
83,google.com.gi,216.239.38.120
84,google.com.gt,216.239.38.120
85,google.com.hk,216.239.38.120
86,google.com.jm,216.239.38.120
87,google.com.kh,216.239.38.120
88,google.com.kw,216.239.38.120
89,google.com.lb,216.239.38.120
90,google.com.ly,216.239.38.120
91,google.com.mm,216.239.38.120
92,google.com.mt,216.239.38.120
93,google.com.mx,216.239.38.120
94,google.com.my,216.239.38.120
95,google.com.na,216.239.38.120
96,google.com.ng,216.239.38.120
97,google.com.ni,216.239.38.120
98,google.com.np,216.239.38.120
99,google.com.om,216.239.38.120
100,google.com.pa,216.239.38.120
101,google.com.pe,216.239.38.120
102,google.com.pg,216.239.38.120
103,google.com.ph,216.239.38.120
104,google.com.pk,216.239.38.120
105,google.com.pr,216.239.38.120
106,google.com.py,216.239.38.120
107,google.com.qa,216.239.38.120
108,google.com.sa,216.239.38.120
109,google.com.sb,216.239.38.120
110,google.com.sg,216.239.38.120
111,google.com.sl,216.239.38.120
112,google.com.sv,216.239.38.120
113,google.com.tj,216.239.38.120
114,google.com.tr,216.239.38.120
115,google.com.tw,216.239.38.120
116,google.com.ua,216.239.38.120
117,google.com.uy,216.239.38.120
118,google.com.vc,216.239.38.120
119,google.com.vn,216.239.38.120
120,google.cv,216.239.38.120
121,google.cz,216.239.38.120
122,google.de,216.239.38.120
123,google.dj,216.239.38.120
124,google.dk,216.239.38.120
125,google.dm,216.239.38.120
126,google.dz,216.239.38.120
127,google.ee,216.239.38.120
128,google.es,216.239.38.120
129,google.fi,216.239.38.120
130,google.fm,216.239.38.120
131,google.fr,216.239.38.120
132,google.ga,216.239.38.120
133,google.ge,216.239.38.120
134,google.gg,216.239.38.120
135,google.gl,216.239.38.120
136,google.gm,216.239.38.120
137,google.gr,216.239.38.120
138,google.gy,216.239.38.120
139,google.hn,216.239.38.120
140,google.hr,216.239.38.120
141,google.ht,216.239.38.120
142,google.hu,216.239.38.120
143,google.ie,216.239.38.120
144,google.im,216.239.38.120
145,google.iq,216.239.38.120
146,google.is,216.239.38.120
147,google.it,216.239.38.120
148,google.je,216.239.38.120
149,google.jo,216.239.38.120
150,google.kg,216.239.38.120
151,google.ki,216.239.38.120
152,google.kz,216.239.38.120
153,google.la,216.239.38.120
154,google.li,216.239.38.120
155,google.lk,216.239.38.120
156,google.lt,216.239.38.120
157,google.lu,216.239.38.120
158,google.lv,216.239.38.120
159,google.md,216.239.38.120
160,google.me,216.239.38.120
161,google.mg,216.239.38.120
162,google.mk,216.239.38.120
163,google.ml,216.239.38.120
164,google.mn,216.239.38.120
165,google.mu,216.239.38.120
166,google.mv,216.239.38.120
167,google.mw,216.239.38.120
168,google.ne,216.239.38.120
169,google.nl,216.239.38.120
170,google.no,216.239.38.120
171,google.nr,216.239.38.120
172,google.nu,216.239.38.120
173,google.pl,216.239.38.120
174,google.pn,216.239.38.120
175,google.ps,216.239.38.120
176,google.pt,216.239.38.120
177,google.ro,216.239.38.120
178,google.rs,216.239.38.120
179,google.ru,216.239.38.120
180,google.rw,216.239.38.120
181,google.sc,216.239.38.120
182,google.se,216.239.38.120
183,google.sh,216.239.38.120
184,google.si,216.239.38.120
185,google.sk,216.239.38.120
186,google.sm,216.239.38.120
187,google.sn,216.239.38.120
188,google.so,216.239.38.120
189,google.sr,216.239.38.120
190,google.st,216.239.38.120
191,google.td,216.239.38.120
192,google.tg,216.239.38.120
193,google.tl,216.239.38.120
194,google.tm,216.239.38.120
195,google.tn,216.239.38.120
196,google.to,216.239.38.120
197,google.tt,216.239.38.120
198,google.vu,216.239.38.120
199,google.ws,216.239.38.120
200,www.google.ad,216.239.38.120
201,www.google.ae,216.239.38.120
202,www.google.al,216.239.38.120
203,www.google.am,216.239.38.120
204,www.google.as,216.239.38.120
205,www.google.at,216.239.38.120
206,www.google.ba,216.239.38.120
207,www.google.be,216.239.38.120
208,www.google.bf,216.239.38.120
209,www.google.bg,216.239.38.120
210,www.google.bi,216.239.38.120
211,www.google.bj,216.239.38.120
212,www.google.bs,216.239.38.120
213,www.google.bt,216.239.38.120
214,www.google.by,216.239.38.120
215,www.google.ca,216.239.38.120
216,www.google.cat,216.239.38.120
217,www.google.cd,216.239.38.120
218,www.google.cf,216.239.38.120
219,www.google.cg,216.239.38.120
220,www.google.ch,216.239.38.120
221,www.google.ci,216.239.38.120
222,www.google.cl,216.239.38.120
223,www.google.cm,216.239.38.120
224,www.google.cn,216.239.38.120
225,www.google.co.ao,216.239.38.120
226,www.google.co.bw,216.239.38.120
227,www.google.co.ck,216.239.38.120
228,www.google.co.cr,216.239.38.120
229,www.google.co.id,216.239.38.120
230,www.google.co.il,216.239.38.120
231,www.google.co.in,216.239.38.120
232,www.google.co.jp,216.239.38.120
233,www.google.co.ke,216.239.38.120
234,www.google.co.kr,216.239.38.120
235,www.google.co.ls,216.239.38.120
236,www.google.co.ma,216.239.38.120
237,www.google.co.mz,216.239.38.120
238,www.google.co.nz,216.239.38.120
239,www.google.co.th,216.239.38.120
240,www.google.co.tz,216.239.38.120
241,www.google.co.ug,216.239.38.120
242,www.google.co.uk,216.239.38.120
243,www.google.co.uz,216.239.38.120
244,www.google.co.ve,216.239.38.120
245,www.google.co.vi,216.239.38.120
246,www.google.co.za,216.239.38.120
247,www.google.co.zm,216.239.38.120
248,www.google.co.zw,216.239.38.120
249,www.google.com,216.239.38.120
250,www.google.com.af,216.239.38.120
251,www.google.com.ag,216.239.38.120
252,www.google.com.ar,216.239.38.120
253,www.google.com.au,216.239.38.120
254,www.google.com.bd,216.239.38.120
255,www.google.com.bh,216.239.38.120
256,www.google.com.bn,216.239.38.120
257,www.google.com.bo,216.239.38.120
258,www.google.com.br,216.239.38.120
259,www.google.com.bz,216.239.38.120
260,www.google.com.co,216.239.38.120
261,www.google.com.cu,216.239.38.120
262,www.google.com.cy,216.239.38.120
263,www.google.com.do,216.239.38.120
264,www.google.com.ec,216.239.38.120
265,www.google.com.eg,216.239.38.120
266,www.google.com.et,216.239.38.120
267,www.google.com.fj,216.239.38.120
268,www.google.com.gh,216.239.38.120
269,www.google.com.gi,216.239.38.120
270,www.google.com.gt,216.239.38.120
271,www.google.com.hk,216.239.38.120
272,www.google.com.jm,216.239.38.120
273,www.google.com.kh,216.239.38.120
274,www.google.com.kw,216.239.38.120
275,www.google.com.lb,216.239.38.120
276,www.google.com.ly,216.239.38.120
277,www.google.com.mm,216.239.38.120
278,www.google.com.mt,216.239.38.120
279,www.google.com.mx,216.239.38.120
280,www.google.com.my,216.239.38.120
281,www.google.com.na,216.239.38.120
282,www.google.com.ng,216.239.38.120
283,www.google.com.ni,216.239.38.120
284,www.google.com.np,216.239.38.120
285,www.google.com.om,216.239.38.120
286,www.google.com.pa,216.239.38.120
287,www.google.com.pe,216.239.38.120
288,www.google.com.pg,216.239.38.120
289,www.google.com.ph,216.239.38.120
290,www.google.com.pk,216.239.38.120
291,www.google.com.pr,216.239.38.120
292,www.google.com.py,216.239.38.120
293,www.google.com.qa,216.239.38.120
294,www.google.com.sa,216.239.38.120
295,www.google.com.sb,216.239.38.120
296,www.google.com.sg,216.239.38.120
297,www.google.com.sl,216.239.38.120
298,www.google.com.sv,216.239.38.120
299,www.google.com.tj,216.239.38.120
300,www.google.com.tr,216.239.38.120
301,www.google.com.tw,216.239.38.120
302,www.google.com.ua,216.239.38.120
303,www.google.com.uy,216.239.38.120
304,www.google.com.vc,216.239.38.120
305,www.google.com.vn,216.239.38.120
306,www.google.cv,216.239.38.120
307,www.google.cz,216.239.38.120
308,www.google.de,216.239.38.120
309,www.google.dj,216.239.38.120
310,www.google.dk,216.239.38.120
311,www.google.dm,216.239.38.120
312,www.google.dz,216.239.38.120
313,www.google.ee,216.239.38.120
314,www.google.es,216.239.38.120
315,www.google.fi,216.239.38.120
316,www.google.fm,216.239.38.120
317,www.google.fr,216.239.38.120
318,www.google.ga,216.239.38.120
319,www.google.ge,216.239.38.120
320,www.google.gg,216.239.38.120
321,www.google.gl,216.239.38.120
322,www.google.gm,216.239.38.120
323,www.google.gr,216.239.38.120
324,www.google.gy,216.239.38.120
325,www.google.hn,216.239.38.120
326,www.google.hr,216.239.38.120
327,www.google.ht,216.239.38.120
328,www.google.hu,216.239.38.120
329,www.google.ie,216.239.38.120
330,www.google.im,216.239.38.120
331,www.google.iq,216.239.38.120
332,www.google.is,216.239.38.120
333,www.google.it,216.239.38.120
334,www.google.je,216.239.38.120
335,www.google.jo,216.239.38.120
336,www.google.kg,216.239.38.120
337,www.google.ki,216.239.38.120
338,www.google.kz,216.239.38.120
339,www.google.la,216.239.38.120
340,www.google.li,216.239.38.120
341,www.google.lk,216.239.38.120
342,www.google.lt,216.239.38.120
343,www.google.lu,216.239.38.120
344,www.google.lv,216.239.38.120
345,www.google.md,216.239.38.120
346,www.google.me,216.239.38.120
347,www.google.mg,216.239.38.120
348,www.google.mk,216.239.38.120
349,www.google.ml,216.239.38.120
350,www.google.mn,216.239.38.120
351,www.google.mu,216.239.38.120
352,www.google.mv,216.239.38.120
353,www.google.mw,216.239.38.120
354,www.google.ne,216.239.38.120
355,www.google.nl,216.239.38.120
356,www.google.no,216.239.38.120
357,www.google.nr,216.239.38.120
358,www.google.nu,216.239.38.120
359,www.google.pl,216.239.38.120
360,www.google.pn,216.239.38.120
361,www.google.ps,216.239.38.120
362,www.google.pt,216.239.38.120
363,www.google.ro,216.239.38.120
364,www.google.rs,216.239.38.120
365,www.google.ru,216.239.38.120
366,www.google.rw,216.239.38.120
367,www.google.sc,216.239.38.120
368,www.google.se,216.239.38.120
369,www.google.sh,216.239.38.120
370,www.google.si,216.239.38.120
371,www.google.sk,216.239.38.120
372,www.google.sm,216.239.38.120
373,www.google.sn,216.239.38.120
374,www.google.so,216.239.38.120
375,www.google.sr,216.239.38.120
376,www.google.st,216.239.38.120
377,www.google.td,216.239.38.120
378,www.google.tg,216.239.38.120
379,www.google.tl,216.239.38.120
380,www.google.tm,216.239.38.120
381,www.google.tn,216.239.38.120
382,www.google.to,216.239.38.120
383,www.google.tt,216.239.38.120
384,www.google.vu,216.239.38.120
385,www.google.ws,216.239.38.120
